border,border_id,date,mean_mw,median_mw,export_h,import_h,max_export,max_import
Espagne,es,2026-03-08,-1411.7,-2092.5,6.0,21.5,2800,-3700
Espagne,es,2026-03-09,78.7,116.5,25.5,22.5,2510,-2200
Espagne,es,2026-03-10,-251.0,-16.0,23.5,24.5,2134,-2300
Espagne,es,2026-03-11,-811.2,-1733.5,16.5,31.5,2300,-2300
Espagne,es,2026-03-12,-748.0,-1919.5,16.5,31.5,2300,-2300
Espagne,es,2026-03-13,407.7,1000.0,30.0,18.0,2300,-2300
Espagne,es,2026-03-14,1710.4,1800.0,48.0,0.0,1800,0
Espagne,es,2026-03-15,1734.2,1800.0,48.0,0.0,1800,0
Italie,it,2026-03-08,-3434.1,-3891.0,0.0,28.0,0,-4379
Italie,it,2026-03-09,-2704.8,-2665.5,0.0,48.0,0,-4317
Italie,it,2026-03-10,-2553.8,-2681.0,0.0,48.0,0,-3067
Italie,it,2026-03-11,-2903.0,-2964.0,0.0,48.0,0,-3000
Italie,it,2026-03-12,-2894.9,-2932.0,0.0,48.0,0,-3030
Italie,it,2026-03-13,-3186.6,-3003.0,0.0,48.0,0,-4041
Italie,it,2026-03-14,-3517.7,-3476.0,0.0,48.0,0,-4615
Italie,it,2026-03-15,-3468.8,-3848.0,0.0,48.0,0,-3910
Suisse,ch,2026-03-08,-2538.9,-3190.0,0.0,28.0,0,-3200
Suisse,ch,2026-03-09,-3164.9,-3200.0,0.0,48.0,0,-3200
Suisse,ch,2026-03-10,-3198.3,-3200.0,0.0,48.0,0,-3200
Suisse,ch,2026-03-11,-3178.9,-3200.0,0.0,48.0,0,-3200
Suisse,ch,2026-03-12,-3193.6,-3200.0,0.0,48.0,0,-3200
Suisse,ch,2026-03-13,-3001.6,-3200.0,0.0,48.0,0,-3200
Suisse,ch,2026-03-14,-2383.0,-2385.0,0.0,48.0,0,-2385
Suisse,ch,2026-03-15,-2384.9,-2385.0,0.0,48.0,0,-2385
All./Bel./Lux.,de,2026-03-08,-3453.8,-3997.5,3.5,24.5,1903,-6344
All./Bel./Lux.,de,2026-03-09,-4837.0,-5049.0,0.0,48.0,0,-7532
All./Bel./Lux.,de,2026-03-10,-5094.2,-5018.5,0.0,48.0,0,-7394
All./Bel./Lux.,de,2026-03-11,-4474.0,-4590.5,0.0,48.0,0,-7056
All./Bel./Lux.,de,2026-03-12,-4064.3,-4309.0,0.0,48.0,0,-6558
All./Bel./Lux.,de,2026-03-13,-3756.3,-4082.0,0.0,48.0,0,-4972
All./Bel./Lux.,de,2026-03-14,-5055.4,-5137.5,0.0,48.0,0,-6911
All./Bel./Lux.,de,2026-03-15,-4696.1,-4699.0,0.0,48.0,0,-6122
Royaume-Uni,gb,2026-03-08,-3528.0,-3528.0,0.0,28.0,0,-3528
Royaume-Uni,gb,2026-03-09,-3495.6,-3528.0,0.0,48.0,0,-3528
Royaume-Uni,gb,2026-03-10,-3247.1,-3527.5,0.0,48.0,0,-3528
Royaume-Uni,gb,2026-03-11,-2843.5,-3263.5,0.0,48.0,0,-3528
Royaume-Uni,gb,2026-03-12,-2453.5,-3528.0,4.0,44.0,1450,-3528
Royaume-Uni,gb,2026-03-13,-2828.7,-3452.0,0.0,48.0,0,-3528
Royaume-Uni,gb,2026-03-14,-3509.5,-3528.0,0.0,48.0,0,-3528
Royaume-Uni,gb,2026-03-15,-3372.1,-3528.0,0.0,48.0,0,-3528
