# Generated from Météo-France radar-tables-decodage-20250515.zip
# code|abbreviation|type|name|unit|scale|reference|width|crex_unit|crex_scale|crex_width
001192|meteoFranceLocal001192|table|TABLE DES COMPOSITES|Code table|0|0|8|NA|0|0
001193|meteoFranceLocal001193|table|TABLE DES IDENTIFICATEURS DES DONNEES COMBINEES|Code table|0|0|8|NA|0|0
002192|meteoFranceLocal002192|table|TYPE DE RADAR|Code table|0|0|8|NA|0|0
002193|meteoFranceLocal002193|table|TYPE DE CALCULATEUR|Code table|0|0|8|NA|0|0
002194|meteoFranceLocal002194|table|INDICATEUR DU DERNIER ETALONNAGE|Code table|0|0|8|NA|0|0
002195|meteoFranceLocal002195|long|FREQUENCE DU DERNIER ETALONNAGE|Hz|-6|0|16|NA|0|0
002196|meteoFranceLocal002196|long|REGLAGE BAS DU DERNIER ETALONNAGE|Numeric|0|0|16|NA|0|0
002197|meteoFranceLocal002197|long|REGLAGE HAUT DU DERNIER ETALONNAGE|Numeric|0|0|16|NA|0|0
002198|meteoFranceLocal002198|table|INDICATEUR D ARRET OU DE PANNE|Code table|0|0|8|NA|0|0
002199|meteoFranceLocal002199|double|CONSTANTE RADAR|dB|1|-1000|16|NA|0|0
002200|meteoFranceLocal002200|table|INDICATEUR DE FONCTIONNEMENT DE L ELIMINATEUR ECHOS FIXES|Code table|0|0|2|NA|0|0
002201|meteoFranceLocal002201|table|INDICATEUR DE POSITIONNEMENT EN SITE INHIBE|Code table|0|0|2|NA|0|0
002202|meteoFranceLocal002202|table|SENS DE BALAYAGE EN AZIMUT|Code table|0|0|2|NA|0|0
005192|meteoFranceLocal005192|long|DISTANCE W-E DU COIN NW DE L IMAGE AU RADAR|m|0|-1024000|24|NA|0|0
005193|meteoFranceLocal005193|long|DISTANCE W-E SUR LE PLAN DE PROJECTION DU COIN NW DE L'IMAGE|m|0|-1024000|24|NA|0|0
005194|meteoFranceLocal005194|table|INDICATEUR DU CENTRE DE PROJECTION|Code Table|0|0|8|NA|0|0
005195|meteoFranceLocal005195|double|LATITUDE DE REFERENCE|degre|5|-9000000|25|NA|0|0
005196|meteoFranceLocal005196|long|TAILLE SOUS IMAGE W-E|m|0|0|16|NA|0|0
005232|meteoFranceLocal005232|double|DIRECTION (SPECTRAL)|Degree|0|0|12|NA|0|0
006192|meteoFranceLocal006192|long|DISTANCE N-S DU COIN NW DE L IMAGE AU RADAR|m|0|-1024000|24|NA|0|0
006193|meteoFranceLocal006193|long|DISTANCE D APPLICATION DE LA CORRECTION EN 1/R2|m|-3|0|16|NA|0|0
006194|meteoFranceLocal006194|long|PORTEE DE DEBUT DE TRAITEMENT D UN SITE|m|-3|0|16|NA|0|0
006195|meteoFranceLocal006195|long|PORTEE DE FIN DE TRAITEMENT D UN SITE|m|-3|0|16|NA|0|0
006196|meteoFranceLocal006196|long|DISTANCE OBLIQUE MAXIMAL D'UTILISATION DES DONNEES|m|-3|0|16|NA|0|0
006197|meteoFranceLocal006197|long|DISTANCE NS SUR LE PLAN DE PROJECTION DU COIN NW DE L'IMAGE|m|0|-1024000|24|NA|0|0
006198|meteoFranceLocal006198|double|LONGITUDE DU MERIDIEN PARALLELE A L'AXE DES Y|degre|5|-18000000|26|NA|0|0
006199|meteoFranceLocal006199|long|PORTEE HYDROLOGIQUE|m|-3|0|10|NA|0|0
021192|meteoFranceLocal021192|double|REFLECTIVITE MINIMALE POUR LA VALEUR DU PIXEL|dB|1|0|16|NA|0|0
021193|meteoFranceLocal021193|double|REFLECTIVITE MAXIMALE POUR LA VALEUR DU PIXEL|dB|1|0|16|NA|0|0
021194|meteoFranceLocal021194|double|REFLECTIVITE THEORIQUE|dBZ|1|0|16|NA|0|0
021195|meteoFranceLocal021195|double|REFLECTIVITE MESUREE|dBZ|1|0|16|NA|0|0
025009|meteoFranceLocal025009|flag|CALIBRATION METHOD (MODIFIEE!!)|Flag table|0|0|5|NA|0|0
025192|meteoFranceLocal025192|table|METHODE DE COMPOSITION DANS LES ZONES DE RECOUVREMENT|Code table|0|0|8|NA|0|0
025193|meteoFranceLocal025193|double|NUMERO DE VERSION LOGICIELLE DU CALCULATEUR|Numeric|2|0|16|NA|0|0
025194|meteoFranceLocal025194|double|NUMERO DE VERSION DE COMPOSITE|Numeric|2|0|16|NA|0|0
025195|meteoFranceLocal025195|long|NUMERO DE VERSION DE CARTE UTILISEE POUR COMPOSITION|Numeric|0|0|8|NA|0|0
025196|meteoFranceLocal025196|table|METHODE DE CUMUL|Code table|0|0|8|NA|0|0
025197|meteoFranceLocal025197|long|NOMBRE D'IMAGES PRISES EN COMPTE|Numeric|0|0|24|NA|0|0
025210|meteoFranceLocal025210|double|FACTEUR DE CORRECTION GLOBAL|Numeric|2|0|10|NA|0|0
029002|meteoFranceLocal029002|table|CO-ORDINATE GRID TYPE|Code table|0|0|2|NA|0|0
030192|meteoFranceLocal030192|table|MODE DE BALAYAGE|Code table|0|0|8|NA|0|0
031192|meteoFranceLocal031192|long|FACTEUR SUPER ELARGI DE REPETITION DIFFERE DU DESCRIPTEUR|Numeric|0|0|32|NA|0|0
048192|meteoFranceLocal048192|long|BIT DE CALAGE|Numeric|0|0|1|NA|0|0
049192|meteoFranceLocal049192|table|CQ INTEGRITE DU MESSAGE|Code table|0|0|4|NA|0|0
049193|meteoFranceLocal049193|table|CQ ARRET PANNE|Code table|0|0|4|NA|0|0
